,MapNumber,Score,matchedTittle,movieTittle,
532,4418,75,[Rec] 2,[Rec]Œæ,0
616,3530,62,Warrior,#HorrorŒæ,0
9,5089,100,"10,000 B.C.","10,000 B.C.Œæ            ",1
324,14041,73,1+1=11,11:14Œæ,0
767,13631,64,Gangster No. 1,12 Angry MenŒæ,0
81,10917,100,12 Monkeys,12 MonkeysŒæ            ,1
667,10795,71,To Live,16 to LifeŒæ,0
416,11619,57,187,1776Œæ,0
66,1110,75,1915,1941Œæ,0
700,8462,75,1984,1982Œæ,0
444,4838,67,12,2:13Œæ,0
341,1730,67,"20,000 Days on Earth","20,000 Leagues Under the SeaŒæ",0
801,1730,67,"20,000 Days on Earth","20,000 Leagues Under the SeaŒæ",0
550,521,58,The Seventh Fire,24 7: Twenty Four SevenŒæ,0
770,3822,100,3 Backyards,3 BackyardsŒæ,1
485,3427,54,The Girl with the Dragon Tattoo (2011),30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon TattooŒæ,0
49,9698,64,Postcards from the Edge,3rd Rock from the SunŒæ            ,0
157,9881,65,Speaking Parts,55 Days at PekingŒæ,0
525,12568,92,28 Days,8 DaysŒæ,1
587,1773,60,A Birder's Guide to Everything,A Beginner's Guide to SnuffŒæ,0
822,3468,68,Arthur Christmas,A Charlie Brown ChristmasŒæ,0
453,8251,100,A Christmas Story,A Christmas StoryŒæ,1
829,7130,69,Breakfast on Pluto,A Dog's BreakfastŒæ,0
830,7130,69,Breakfast on Pluto,A Dog's BreakfastŒæ,0
349,6812,60,Christmas at Maxwell's,A Farewell to ArmsŒæ,0
691,376,73,Fire at Sea,A Fine StepŒæ,0
570,380,59,Best Worst Thing That Ever Could Have Happened,A Funny Thing Happened on the Way to the ForumŒæ,0
507,13073,65,All Over the Guy,A Guy Named JoeŒæ,0
413,570,74,This Last Lonely Place,A Lonely Place to DieŒæ,0
425,13194,68,A Song for Martin,A Man for All SeasonsŒæ,0
48,2825,73,"Monsters, Inc. (3D)",A Monster in ParisŒæ,0
100,10423,76,A Perfect World,A Perfect PlanŒæ,0
883,178,61,Maggie's Plan,A Plague So PleasantŒæ,0
327,5263,69,Son of Rambow,A Shine of RainbowsŒæ,0
579,407,65,A Street Cat Named Bob,A Streetcar Named DesireŒæ,0
211,3293,70,Tales of the Night,A Tale of Three CitiesŒæ,0
34,4600,69,Land of the Lost,A Touch of FrostŒæ            ,0
860,881,91,True Story,A True StoryŒæ,1
103,12404,61,The Adventures of Sebastian Cole,A Turtle's Tale: Sammy's AdventuresŒæ,0
78,10779,75,Squanto: A Warrior's Tale,A Warrior's TailŒæ,0
578,13376,88,Abandon,AbandonedŒæ,0
849,604,71,Argentina,AbsentiaŒæ,0
93,1309,71,Little Accidents,Accidental LoveŒæ,0
243,2591,73,A Resurrection,Adam ResurrectedŒæ,0
717,1114,72,Adult Beginners,AdulterersŒæ,0
720,3874,100,After,AfterŒæ,1
590,5779,83,Into the Wild,Against the WildŒæ,0
393,1166,67,Aloft,AirliftŒæ,0
545,8294,70,Fanny and Alexander,Alexander's Ragtime BandŒæ,0
519,10194,77,Raising Cain,Alien UprisingŒæ,0
299,2418,73,No One Lives,Alien ZoneŒæ,0
382,5560,100,All Hat,All HatŒæ,1
875,3395,68,Death of a Superhero,All Superheroes Must DieŒæ,0
12,5560,70,All Hat,All That JazzŒæ,0
711,13434,66,The Dangerous Lives of Altar Boys,All the Boys Love Mandy LaneŒæ,0
747,12444,63,All the Little Animals,Alleluia! The Devil's CarnivalŒæ,0
798,1421,100,Along the Roadside,Along the RoadsideŒæ,1
308,4062,58,Legend of the Guardians: The Owls of Ga'Hoole,Alpha and Omega 4: The Legend of the Saw Toothed CaveŒæ,0
530,4691,69,Taking Woodstock,Always WoodstockŒæ,0
742,5447,68,America the Beautiful,America Is Still the PlaceŒæ,0
250,10585,86,American Heart,American HeistŒæ,0
702,10585,89,American Heart,American HeroŒæ,0
780,11506,68,The Devil's Advocate,Amidst the Devil's WingsŒæ,0
497,4665,71,Amelia,AmnesiacŒæ,0
811,13082,77,An American Rhapsody,An American Girl HolidayŒæ,0
825,8188,70,It Came From Hollywood,An American in HollywoodŒæ,0
696,6183,100,And Then Came Love,And Then Came LoveŒæ,1
775,7045,63,Mrs. Henderson Presents,Anderson's CrossŒæ,0
29,13722,100,Anger Management,Anger ManagementŒæ            ,1
46,4194,68,Animal Kingdom,Animal Kingdom: Let's go ApeŒæ,0
397,4194,100,Animal Kingdom,Animal KingdomŒæ            ,1
74,12917,75,The Animal,Animals UnitedŒæ,0
336,887,75,Anomalisa,AnimalsŒæ,0
394,3563,63,Of Gods and Men,Anne of Green GablesŒæ            ,0
412,3945,100,Another Happy Day,Another Happy DayŒæ,1
517,7514,71,Birth,AntibirthŒæ,0
459,28,62,Arrival,AntiviralŒæ,0
815,10796,62,A Good Man in Africa,Archaeology of a WomanŒæ,0
359,1335,100,Area 51,Area 51Œæ,1
161,2733,70,The Dark Knight Rises,Arn: The Knight TemplarŒæ,0
823,7907,75,Used Cars,ArousedŒæ,0
47,7971,100,Arthur,ArthurŒæ            ,1
695,13883,79,Anything Else,Ask Me AnythingŒæ,0
7,5947,61,The Last Sin Eater,Asterix at the Olympic GamesŒæ,0
451,5574,100,August,AugustŒæ,1
179,687,73,Automatic Hate,AutomataŒæ,0
491,10398,55,Wayne's World 2,AWOL-72Œæ,0
716,11316,83,Girl 6,B-GirlŒæ,0
58,12616,100,Bait,BaitŒæ,1
561,1987,73,Anna,BananasŒæ,0
63,12933,80,Bandits,BandidasŒæ,0
688,1612,78,Bang Bang,Bang Bang BabyŒæ,0
879,11524,75,Bean,BangŒæ,0
693,5477,64,Chapter 27,Banshee ChapterŒæ,0
268,2946,82,Barbara,BarbarellaŒæ,0
260,2722,67,Absence,BarbecueŒæ,0
381,2902,100,Barfi!,BarfiŒæ,1
216,274,64,Harry & Snowman,Barry LyndonŒæ,0
494,1137,64,Nasty Baby,Barry MundayŒæ,0
520,9476,69,Say Anything,Bathing BeautyŒæ,0
177,3077,62,Forgiveness of Blood,Bathory: Countess of BloodŒæ,0
445,2926,68,The Dark Knight (2012 re-release),"Batman: The Dark Knight Returns, Part 2Œæ",0
622,9583,84,Babar: The Movie,Batman: The MovieŒæ,0
581,1447,83,Dawn of the Planet of the Apes,Battle for the Planet of the ApesŒæ,0
645,3706,70,Bellflower,Below ZeroŒæ,0
10,95,74,Ben-Hur (2016),Ben-HurŒæ,0
169,95,74,Ben-Hur (2016),Ben-HurŒæ,0
424,95,74,Ben-Hur (2016),Ben-HurŒæ,0
856,9131,70,Steel Dawn,Bending SteelŒæ,0
266,4891,62,Broken Hill,Beneath Hill 60Œæ,0
462,1447,80,Dawn of the Planet of the Apes,Beneath the Planet of the ApesŒæ,0
15,6944,100,Bewitched,BewitchedŒæ            ,1
776,13958,67,Blizzard,BizarreŒæ,0
293,1358,100,Black November,Black NovemberŒæ,1
685,5853,80,Black Book,Black RockŒæ,0
64,12360,68,"Black Cat, White Cat",Black Water TransitŒæ,0
712,7785,80,Fabled,BledŒæ,0
649,9945,67,Lionheart,Bleeding HeartsŒæ,0
145,8027,100,Blow Out,Blow OutŒæ,1
231,8459,100,Body Double,Body DoubleŒæ,1
111,7557,65,Saints and Soldiers,Bodyguards and AssassinsŒæ,0
278,6440,100,"Bon Cop, Bad Cop",Bon Cop Bad CopŒæ,1
232,13009,100,Bones,BonesŒæ            ,1
543,1757,71,In Bloom,Boom TownŒæ,0
370,5451,82,Body of War,Born of WarŒæ,0
477,9827,95,Brain Dead,BrainDeadŒæ            ,1
478,11417,67,A Single Girl,Brave New GirlŒæ,0
218,3690,100,Brighton Rock,Brighton RockŒæ,1
186,7038,74,Broken Flowers,Broken HorsesŒæ,0
664,13914,100,Bubba Ho-Tep,Bubba Ho-TepŒæ,1
298,10208,100,Buffy the Vampire Slayer,Buffy the Vampire SlayerŒæ            ,1
816,1264,100,Butterfly Girl,Butterfly GirlŒæ,1
790,12676,100,Butterfly,ButterflyŒæ,1
632,8490,100,C.H.U.D.,C.H.U.D.Œæ,1
598,13818,100,Cabin Fever,Cabin FeverŒæ,1
379,7520,100,Camping Sauvage,Camping sauvageŒæ,1
371,261,67,American Honey,Capricorn OneŒæ,0
85,11911,61,The Spanish Prisoner,Captain Alatriste: The Spanish MusketeerŒæ,0
395,2753,89,Argo,CargoŒæ,0
102,14085,100,Carnage,CarnageŒæ,1
654,10288,69,Casablanca (Re-issue),CasablancaŒæ,0
461,13816,64,Love Don't Cost a Thing,Cat on a Hot Tin RoofŒæ,0
197,8159,100,Cat People,Cat PeopleŒæ,1
824,8159,100,Cat People,Cat PeopleŒæ,1
144,4377,71,Hatchet 2,Catch-22Œæ,0
431,3713,73,Chasing Madoff,Chain of CommandŒæ,0
692,13468,100,Charly,CharlyŒæ,1
615,4984,67,Chocolate,CheckmateŒæ,0
181,7390,49,Christmas with the Kranks,Chiamatemi Francesco - Il Papa della genteŒæ,0
493,2997,62,Chico & Rita,Chicago OvercoatŒæ,0
529,3014,63,Chicken with Plums,Chicken Tikka MasalaŒæ,0
678,1425,100,Childless,ChildlessŒæ,1
367,1128,100,Christmas Eve,Christmas EveŒæ,1
515,5278,80,A Christmas Tale,Christmas MailŒæ,0
554,4474,100,Circle,CircleŒæ,1
454,9808,85,Class of 1999,Class of 1984Œæ,0
496,8864,88,At Close Range,Close RangeŒæ,0
612,5188,78,Fly Me to the Moon,Closer to the MoonŒæ,0
839,10642,82,Disclosure,ClosureŒæ,0
290,1880,69,Horses of God,Code of HonorŒæ,0
567,1012,74,Freetown,Coffee TownŒæ,0
226,8568,100,Commando,CommandoŒæ,1
82,13351,100,Confessions of a Dangerous Mind,Confessions of a Dangerous MindŒæ,1
592,1447,84,Dawn of the Planet of the Apes,Conquest of the Planet of the ApesŒæ,0
18,6933,100,Constantine,ConstantineŒæ            ,1
535,1162,75,Entertainment,ContainmentŒæ,0
647,5188,60,Fly Me to the Moon,Cotton Comes to HarlemŒæ,0
854,1324,100,Counting,CountingŒæ,1
735,5957,76,Crazy Love,Crazy StoneŒæ,0
476,8656,80,Creator,CreatureŒæ            ,0
13,8117,100,Creepshow,CreepshowŒæ,1
274,8117,100,Creepshow,CreepshowŒæ,1
762,10226,71,Whispers in the Dark,Cries & WhispersŒæ,0
312,4567,63,Paranormal Activity,Criminal ActivitiesŒæ,0
725,13664,100,Crop Circles: Quest for Truth,Crop Circles: Quest for TruthŒæ,1
646,602,67,Star Crossed,CrowsnestŒæ,0
704,10154,69,The Crying Game,Crying with LaughterŒæ,0
205,4706,73,Cheri,CypherŒæ,0
637,9857,62,The Blood of Heroes,Da Sweet Blood of JesusŒæ,0
159,9211,74,Alien Nation,Damnation AlleyŒæ,0
209,4985,67,Lion's Den,Dancin' It's OnŒæ,0
14,13737,100,Daredevil,DaredevilŒæ            ,1
301,8998,76,Angel Heart,Dark AngelŒæ            ,0
861,1321,100,Dawn of the Crescent Moon,Dawn of the Crescent MoonŒæ,1
448,85,70,Patriots Day,Dawn PatrolŒæ,0
150,8658,100,Day of the Dead,Day of the DeadŒæ,1
438,8658,100,Day of the Dead,Day of the DeadŒæ,1
452,3529,100,One Day,Day OneŒæ,1
474,12149,80,End of Days,Days of HeavenŒæ,0
362,2465,58,Andre Gregory: Before and After Dinner,Dead Like Me: Life After DeathŒæ,0
585,9149,73,Deadline,Deadline - U.S.A.Œæ,0
472,8044,67,Gallipoli,Deadline GallipoliŒæ            ,0
779,2111,74,The Call,Death CallsŒæ,0
773,5137,80,Death Race,Death Race 2000Œæ,0
357,7719,100,Decoys,DecoysŒæ,1
627,8694,100,Def-Con 4,Def-Con 4Œæ,1
36,5158,100,Defiance,DefianceŒæ            ,1
194,715,57,In Her Name (Au nom de ma fille),Del 1 - Mí_n som hatar kvinnorŒæ            ,0
480,384,83,Demon,DemonicŒæ,0
663,4723,95,Departures,DepartureŒæ,1
714,9744,82,Mr. Destiny,DestinyŒæ,0
256,12214,71,Election,DetentionŒæ,0
752,12409,70,Diamonds,Diamond RuffŒæ,0
684,5744,62,Mr. Bean's Holiday,Doc Holliday's RevengeŒæ,0
326,4453,100,Don McKay,Don McKayŒæ,1
505,3350,60,Downtown Express,Donovan's ReefŒæ,0
427,3823,100,Down for Life,Down for LifeŒæ,1
580,269,54,"Lo and Behold, Reveries of the Connected World",Dr. Strangelove or: How I Learned to Stop Worrying and Love the BombŒæ,0
158,12617,73,Dungeons & Dragons,Dragon HuntersŒæ,0
50,6838,67,Masai: The Rain Warriors,Dragon Nest: Warriors' DawnŒæ,0
212,9177,89,Die Hard,Drive HardŒæ,0
870,1822,63,Yellow Day,Dry SpellŒæ,0
837,12555,84,"Dude, Where's My Car?","Dude, Where's My Dog?!Œæ",0
180,14086,60,Down and Out with the Dolls,Dungeons & Dragons: Wrath of the Dragon GodŒæ,0
869,10015,62,Dutch,Dutch KillsŒæ,0
133,10797,63,Leprechaun 2,Dwegons and LeprechaunsŒæ,0
369,670,90,The Dying of the Light,Dying of the LightŒæ,0
589,3278,100,Dysfunctional Friends,Dysfunctional FriendsŒæ,1
841,5745,62,Breach,Echo Dr.Œæ,0
583,4189,68,Mother and Child,Ed and His Dead MotherŒæ,0
528,1148,100,Eden,EdenŒæ,1
468,5684,62,American Gangster,Elmer GantryŒæ,0
235,5373,100,Elsa & Fred,Elsa & FredŒæ,1
699,4934,75,Teza,ElzaŒæ,0
329,11238,100,Emma,EmmaŒæ            ,1
432,13345,100,Empire,EmpireŒæ            ,1
744,7329,75,Nowhere Man,Enter NowhereŒæ,0
489,10899,72,Dangerous Minds,Enter the Dangerous MindŒæ,0
70,811,100,Entourage,EntourageŒæ            ,1
835,11180,75,Eraser,EraserheadŒæ,0
512,1447,81,Dawn of the Planet of the Apes,Escape from the Planet of the ApesŒæ,0
551,8542,100,Eureka,EurekaŒæ            ,1
737,13224,100,Everything Put Together,Everything Put TogetherŒæ,1
539,7077,50,Me and You and Everyone We Know,Everything You Always Wanted to Know About Sex * But Were Afraid to AskŒæ,0
16,551,100,Evolution,EvolutionŒæ,1
784,246,60,Premam,ExamŒæ,0
872,1079,67,Experimenter,ExeterŒæ,0
189,9712,82,The Exorcist III,Exorcist II: The HereticŒæ,0
643,13405,75,Extreme Ops,Extreme MovieŒæ,0
32,2069,72,Now You See Me,Eye See YouŒæ,0
215,343,67,The Fits,F.I.S.T.Œæ,0
731,1947,100,Faith Connections,Faith ConnectionsŒæ,1
651,7015,65,A Lot Like Love,Faith Like PotatoesŒæ,0
464,6731,76,Family Law,Family PlotŒæ,0
291,1365,100,Far from Men,Far from MenŒæ,1
363,6931,90,March of the Penguins,Farce of the PenguinsŒæ,0
297,11233,100,Fargo,FargoŒæ            ,1
385,8109,100,Fast Times at Ridgemont High,Fast Times at Ridgemont HighŒæ,1
511,11550,62,Father's Day,"Fat, Sick & Nearly DeadŒæ",0
689,5306,67,"War, Inc.",Fear ClinicŒæ,0
458,6706,100,Feast,FeastŒæ,1
610,4320,62,Touching Home,Fetching CodyŒæ,0
241,5516,81,Walking on Dead Fish,Fifty Dead Men WalkingŒæ,0
746,12065,72,The Theory of Flight,Fight to the FinishŒæ,0
138,8253,70,Valley Girl,Fight ValleyŒæ,0
122,4652,100,Fired Up,Fired UpŒæ            ,1
140,11916,100,Firestorm,FirestormŒæ,1
39,8093,100,First Blood,First BloodŒæ,1
187,8093,100,First Blood,First BloodŒæ,1
56,7874,100,Flash Gordon,Flash GordonŒæ,1
83,92,100,Florence Foster Jenkins,Florence Foster JenkinsŒæ,1
364,3272,67,Falling Away,Flying ByŒæ,0
871,8746,67,The Fly,FlywheelŒæ,0
697,10788,67,China Moon,Food ChainsŒæ,0
44,10092,71,Dogfight,Foodfight!Œæ,0
351,2196,62,20 Feet from Stardom,Force 10 from NavaroneŒæ,0
629,4893,77,Not Forgotten,Forget Me NotŒæ,0
109,13010,80,The Forsaken,ForsakenŒæ,0
152,13010,80,The Forsaken,ForsakenŒæ,0
606,129,78,Fifty Shades of Black,Forty Shades of BlueŒæ,0
488,13343,78,The Four Feathers,Four Single FathersŒæ,0
674,2950,71,Rampart,Frat PartyŒæ,0
331,13731,72,Freaky Friday,Freaky DeakyŒæ,0
184,1390,88,Unfreedom,FreedomŒæ,0
475,11407,100,Freeway,FreewayŒæ,1
556,12593,62,Reindeer Games,Freeze FrameŒæ,0
437,2045,67,Frozen,FrenzyŒæ,0
68,7399,100,Friday Night Lights,Friday Night LightsŒæ            ,1
594,14116,71,From Here to Eternity (50th Anniversary),From Here to EternityŒæ,0
390,4929,67,Fuel,FuglyŒæ,0
866,1109,65,She's Funny That Way,Funny Ha HaŒæ,0
851,13050,100,Gabriela,GabrielaŒæ,1
335,4410,67,GasLand,GalaxinaŒæ,0
112,8092,100,Gandhi,GandhiŒæ,1
544,3832,62,A Somewhat Gentle Man,Gentleman's AgreementŒæ,0
67,9290,70,Hero and the Terror,George and the DragonŒæ,0
547,12317,100,Get Real,Get RealŒæ            ,1
188,8377,80,Ghostbusters,Ghost HuntersŒæ            ,0
620,13159,78,The Girl,Girl HouseŒæ,0
741,6789,79,The Dead Girl,Girls Gone DeadŒæ,0
795,1635,86,Gimme Shelter,Give Me ShelterŒæ,0
320,13625,74,Food of Love,Goddess of LoveŒæ,0
2,206,69,Shin Godzilla,Godzilla ResurgenceŒæ,0
5,206,69,Shin Godzilla,Godzilla ResurgenceŒæ,0
317,5265,100,Gomorrah,GomorrahŒæ            ,1
139,5773,100,Gone Baby Gone,"Gone, Baby, GoneŒæ            ",1
247,12168,71,Cruel Intentions,Good IntentionsŒæ,0
337,3747,71,Rubber,GrabbersŒæ,0
77,7504,65,Maria Full of Grace,Grace of MonacoŒæ,0
777,9003,75,Radio Days,Graduation DayŒæ,0
642,1596,68,The Grand Seduction,Grand Theft ParsonsŒæ,0
557,9348,64,Five Corners,Grave EncountersŒæ,0
289,5167,67,Never Back Down,Green Street 3: Never Back DownŒæ,0
499,1908,84,The Great Invisible,Griff the InvisibleŒæ,0
614,4459,69,The Kids Grow Up,Growing Up SmithŒæ,0
249,7263,71,Genesis,GunlessŒæ,0
814,3424,50,Hop,H.Œæ,0
164,12920,67,A Knight's Tale,Hachi: A Dog's TaleŒæ,0
134,158,100,Hands of Stone,Hands of StoneŒæ,1
584,4412,67,Shanghai Red,Hang 'Em HighŒæ,0
11,12887,100,Hannibal,HannibalŒæ            ,1
399,13549,80,Hansel and Gretel,Hansel & Gretel Get BakedŒæ,0
782,5456,100,Happy Valley,Happy ValleyŒæ            ,1
303,1220,100,Hard to Be a God,Hard to Be a GodŒæ,1
84,613,63,A Space Program,Harlock: Space PirateŒæ,0
436,4729,71,Paper Heart,HarperŒæ,0
705,1346,60,Horse Money,Harrison MontgomeryŒæ,0
6,3400,95,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part IŒæ,1
4,3400,94,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part IIŒæ,1
605,5996,100,Hatchet,HatchetŒæ,1
852,1407,88,Hayride 2,HayrideŒæ,0
233,8058,100,Heartbeeps,HeartbeepsŒæ,1
253,11392,71,Heavy Metal (re-issue),Heavy MetalŒæ,0
57,12970,100,Heist,HeistŒæ,1
261,12970,100,Heist,HeistŒæ,1
669,1289,86,Eli,HeliŒæ,0
417,12515,76,Charlie's Angels,Hell's AngelsŒæ,0
366,9509,80,Henry V,Henry & MeŒæ,0
865,5538,56,The Cry (La Llorona),Her Cry: La Llorona InvestigationŒæ,0
821,552,69,Gridiron Heroes,Heroes of DirtŒæ,0
756,7409,80,Hero,HeroesŒæ            ,0
681,9853,75,Hidden Agenda,Hidden AwayŒæ,0
450,12589,72,High Fidelity,High AnxietyŒæ,0
713,7079,76,High Tension,High NoonŒæ,0
334,6282,61,Four Lane Highway,High Plains DrifterŒæ,0
732,12952,71,How High,High RoadŒæ,0
310,5091,74,High School Musical 3: Senior Year,High School Musical 2Œæ,0
396,11242,74,High School High,High School MusicalŒæ,0
565,7620,82,Highwaymen,HighwayŒæ,0
214,7986,100,"History of the World, Part I",History of the World: Part IŒæ,1
665,7986,100,"History of the World, Part I",History of the World: Part IŒæ,1
54,9023,72,From the Hip,Hit the FloorŒæ            ,0
672,7116,73,Heights,HitsŒæ,0
409,2968,100,Holy Motors,Holy MotorsŒæ,1
758,7965,100,Home Movies,Home MoviesŒæ            ,1
794,3053,76,Crazy Horse,Horse CampŒæ,0
621,2827,78,House at the End of The Street,House at the End of the DriveŒæ,0
428,6561,87,The House of Sand,House of SandŒæ,0
608,3210,74,Hellbound?,HouseboundŒæ,0
635,11476,59,Eden Valley,How Green Was My ValleyŒæ,0
422,593,79,How He Fell in Love,How to Fall in LoveŒæ,0
513,2147,67,Mud,HudŒæ,0
549,12817,98,Hum to Mohabbt Karega,Hum To Mohabbat KaregaŒæ,1
151,12936,67,I Am Sam,I Am WrathŒæ,0
149,8478,75,Racing with the Moon,I Come with the RainŒæ,0
492,2308,73,Diana,IguanaŒæ,0
526,7010,78,Match Point,Impact PointŒæ,0
434,5461,73,Bloodline,In Cold BloodŒæ,0
537,670,78,The Dying of the Light,In the Heat of the NightŒæ            ,0
446,12108,71,The Last of the High Kings,In the Name of the King: The Last JobŒæ,0
41,8176,100,Inchon,InchonŒæ,1
588,11167,84,Independence Day,Independence DaysasterŒæ,0
838,7387,74,Garfield: The Movie,Indie Game: The MovieŒæ,0
787,8876,86,Link,InkŒæ,0
738,13272,70,Insomnia,Insomnia ManicaŒæ,0
254,9212,63,Gorillas in the Mist,Into the Grizzly MazeŒæ,0
763,2201,57,Metallica Through the Never,Intolerance: Love's Struggle Throughout the AgesŒæ,0
229,8593,100,Invasion U.S.A.,Invasion U.S.A.Œæ,1
709,9436,62,The War of the Roses,Iraq for Sale: The War ProfiteersŒæ,0
106,6761,74,Iron Island,IroncladŒæ,0
727,5157,67,Untraceable,IrreplaceableŒæ,0
768,637,76,What Happened Last Night,It Happened One NightŒæ,0
244,4056,61,Resident Evil: Afterlife,It's a Wonderful AfterlifeŒæ,0
460,8992,70,Some Kind of Wonderful,It's a Wonderful LifeŒæ,0
91,5562,60,It Always Rains on Sunday (re-issue),It's Always Sunny in PhiladelphiaŒæ            ,0
531,4847,62,Monster Beach Party,Jack Brooks: Monster SlayerŒæ,0
353,8181,100,Jekyll and Hyde Together Again,Jekyll and Hyde... Together AgainŒæ,1
694,7884,67,Tess,JesseŒæ            ,0
789,396,67,Other People,Jesus PeopleŒæ,0
673,2725,69,Billy and Buddy,Jimmy and JudyŒæ,0
733,10351,100,Johnny Suede,Johnny SuedeŒæ,1
504,8617,69,Return to Oz,Journey to SaturnŒæ,0
469,10464,63,Judgment Night,Judgment at NurembergŒæ,0
323,220,83,Julieta,JuliaŒæ,0
730,2249,63,Romeo and Juliet (2013),Julija in alfa RomeoŒæ,0
242,11508,69,Jungle 2 Jungle,Jungle ShuffleŒæ,0
670,1968,61,Love and Air Sex,Karachi se LahoreŒæ,0
178,2723,100,Khumba,KhumbaŒæ,1
600,8163,69,Forced Vengeance,Kickboxer: VengeanceŒæ,0
276,353,100,Kicks,KicksŒæ,1
234,6521,100,Krrish,KrrishŒæ,1
59,8255,100,Krull,KrullŒæ,1
467,8618,100,Krush Groove,Krush GrooveŒæ,1
223,12056,67,Un air de famille,La Famille Bí©lierŒæ,0
121,8591,100,Ladyhawke,LadyhawkeŒæ,1
501,6504,100,Lage Raho Munna Bhai,Lage Raho Munna BhaiŒæ,1
655,10116,67,Naked Tango,Lake MungoŒæ,0
21,11256,100,Last Man Standing,Last Man StandingŒæ            ,1
206,5358,64,The Legend of God's Gun,Legend of Kung Fu RabbitŒæ,0
377,7224,65,Gille's Wife,Let's Kill Ward's WifeŒæ,0
533,14147,80,Hidden in Plain Sight,Lies in Plain SightŒæ,0
19,12153,100,Life,LifeŒæ            ,1
98,8614,100,Lifeforce,LifeforceŒæ,1
726,1292,68,The Armor of Light,Light from the DarkroomŒæ,0
166,9371,64,Aloha Summer,LilyhammerŒæ            ,0
86,3441,100,Limitless,LimitlessŒæ            ,1
61,12031,77,Passion in the Desert,Lion of the DesertŒæ,0
174,1828,75,Lilting,ListeningŒæ,0
797,3240,69,Little Birds,Little Big TopŒæ,0
72,12563,74,Little Nicky,Little NicholasŒæ,0
706,5989,100,Live in Maid,Live-In MaidŒæ,1
591,5405,67,The Other End of the Line,Living Dark: The Story of Ted the CaverŒæ,0
220,549,86,Lolo,LOLŒæ,0
31,11987,71,Lolita (1998),LolitaŒæ,0
541,11987,71,Lolita (1998),LolitaŒæ,0
701,5605,100,London to Brighton,London to BrightonŒæ,1
257,9785,100,Loose Cannons,Loose CannonsŒæ,1
449,7044,77,Lords of Dogtown,Lords of LondonŒæ,0
302,8352,100,Losin' It,Losin' ItŒæ,1
757,13667,91,Love in the Time of Money,Love in the Time of MonstersŒæ,1
729,8483,83,Love Letters (1984),Love LettersŒæ,0
661,574,77,Love Me True,Love Me TenderŒæ,0
222,8285,100,Lovesick,LovesickŒæ            ,1
671,1477,72,Annabelle,Loving AnnabelleŒæ,0
60,13863,100,Luther,LutherŒæ            ,1
429,11608,71,B.A.P.S.,M*A*S*HŒæ            ,0
219,13590,73,Mean Machine,Machine Gun McCainŒæ,0
802,7918,100,Mad Max,Mad MaxŒæ,1
804,7692,100,Malevolence,MalevolenceŒæ,1
867,14166,100,Manito,ManitoŒæ,1
45,11624,100,McHale's Navy,McHale's NavyŒæ            ,1
607,1411,100,Me You and Five Bucks,Me You and Five BucksŒæ,1
117,3186,77,Meet the Fokkens,Meet the BrownsŒæ            ,0
325,3925,74,Rid of Me,Men of WarŒæ,0
162,11542,73,Metro,MeteorŒæ,0
3,6339,100,Miami Vice,Miami ViceŒæ            ,1
774,2179,77,Before Midnight,Midnight CabaretŒæ,0
430,2179,73,Before Midnight,Midnight CowboyŒæ,0
224,2239,70,Disconnect,MisconductŒæ,0
338,12430,100,Miss Julie,Miss JulieŒæ,1
386,5522,67,Good Dick,Moby DickŒæ,0
275,7996,100,Modern Problems,Modern ProblemsŒæ,1
344,8005,100,Mommie Dearest,Mommie DearestŒæ,1
604,3665,100,Mooz-lum,Mooz-LumŒæ,1
288,259,100,Mr. Church,Mr. ChurchŒæ,1
599,6739,77,Can Mr. Smith Get to Washington Anymore?,Mr. Smith Goes to WashingtonŒæ,0
613,1228,76,Tap World,Mutant WorldŒæ,0
864,6671,100,Mutual Appreciation,Mutual AppreciationŒæ,1
753,6989,77,Just Friends,Mutual FriendsŒæ,0
760,8861,100,My Beautiful Laundrette,My Beautiful LaundretteŒæ,1
